date,number_of_strikes,center_point_geom
2016-08-26,50,POINT(-105.44 47.54)
2016-08-02,20,POINT(-104.50 43.23)
2016-08-24,44,POINT(-92.84 21.57)
2016-08-15,39,POINT(-94.76 30.04)
2016-08-18,8,POINT(-106.81 36.74)
2016-08-04,37,POINT(-104.54 27.56)
2016-08-30,3,POINT(-85.94 48.93)
2016-08-13,23,POINT(-95.89 24.51)
2016-08-03,35,POINT(-116.74 39.91)
2016-08-18,28,POINT(-83.33 29.31)
2016-08-10,43,POINT(-93.76 39.86)
2016-08-27,24,POINT(-114.84 41.27)
2016-08-21,5,POINT(-116.61 36.77)
2016-08-20,33,POINT(-94.26 29.85)
2016-08-29,42,POINT(-114.89 41.08)
2016-08-28,22,POINT(-82.12 49.91)
2016-08-12,1,POINT(-83.50 22.80)
2016-08-19,27,POINT(-93.18 35.25)
2016-08-07,32,POINT(-119.27 29.27)
2016-08-23,7,POINT(-81.95 30.25)
2016-08-03,28,POINT(-89.35 25.76)
2016-08-02,24,POINT(-80.00 24.65)
2016-08-22,41,POINT(-108.17 43.64)
2016-08-08,30,POINT(-99.69 36.19)
2016-08-25,46,POINT(-90.45 35.80)
2016-08-10,10,POINT(-93.52 46.29)
2016-08-03,28,POINT(-95.28 37.92)
2016-08-28,12,POINT(-113.83 25.43)
2016-08-08,47,POINT(-92.29 38.74)
2016-08-28,34,POINT(-83.89 41.64)
2016-08-04,42,POINT(-118.25 30.93)
2016-08-13,18,POINT(-91.22 49.09)
2016-08-09,40,POINT(-95.58 42.57)
2016-08-15,35,POINT(-88.65 27.02)
2016-08-21,50,POINT(-110.43 48.97)
2016-08-27,31,POINT(-88.63 47.12)
2016-08-12,30,POINT(-112.24 40.35)
2016-08-06,28,POINT(-97.18 33.22)
2016-08-12,47,POINT(-89.22 43.34)
2016-08-12,38,POINT(-99.88 32.56)
2016-08-07,18,POINT(-113.52 25.99)
2016-08-22,21,POINT(-95.81 46.19)
2016-08-09,16,POINT(-117.91 34.42)
2016-08-23,6,POINT(-105.15 48.03)
2016-08-30,18,POINT(-91.54 35.48)
2016-08-22,29,POINT(-115.01 22.52)
2016-08-21,16,POINT(-113.59 33.48)
2016-08-03,49,POINT(-99.47 44.93)
2016-08-20,30,POINT(-116.33 47.32)
2016-08-21,37,POINT(-87.33 46.54)
2016-08-06,40,POINT(-82.78 32.45)
2016-08-18,43,POINT(-104.14 31.22)
2016-08-24,25,POINT(-104.55 22.45)
2016-08-08,22,POINT(-111.02 29.56)
2016-08-06,2,POINT(-116.04 41.44)
2016-08-15,32,POINT(-106.59 24.38)
2016-08-13,21,POINT(-118.47 47.52)
2016-08-09,12,POINT(-101.10 44.93)
2016-08-30,32,POINT(-89.65 34.07)
2016-08-21,14,POINT(-95.39 47.18)
2016-08-23,23,POINT(-119.24 26.47)
2016-08-18,17,POINT(-114.02 48.21)
2016-08-08,22,POINT(-95.64 32.70)
2016-08-22,18,POINT(-88.95 27.13)
2016-08-11,39,POINT(-115.13 27.15)
2016-08-27,45,POINT(-94.44 38.68)
2016-08-25,18,POINT(-117.49 45.10)
2016-08-25,36,POINT(-100.01 36.08)
2016-08-02,1,POINT(-94.72 37.25)
2016-08-08,34,POINT(-91.26 28.74)
2016-08-27,13,POINT(-119.94 30.58)
2016-08-02,6,POINT(-97.17 25.62)
2016-08-26,16,POINT(-93.27 35.70)
2016-08-11,47,POINT(-105.58 48.60)
2016-08-13,27,POINT(-98.24 43.59)
2016-08-09,32,POINT(-99.70 20.61)
2016-08-03,36,POINT(-85.07 21.31)
2016-08-07,49,POINT(-104.52 31.20)
2016-08-30,16,POINT(-90.11 30.71)
2016-08-31,45,POINT(-117.30 27.23)
2016-08-19,31,POINT(-93.72 23.11)
2016-08-29,42,POINT(-96.72 42.70)
2016-08-23,46,POINT(-114.66 30.57)
2016-08-11,32,POINT(-106.46 39.28)
2016-08-07,29,POINT(-86.78 40.54)
2016-08-21,2,POINT(-80.77 34.36)
2016-08-16,6,POINT(-112.71 24.05)
2016-08-13,19,POINT(-91.36 48.31)
2016-08-29,15,POINT(-118.52 26.05)
2016-08-30,26,POINT(-88.36 46.57)
2016-08-21,45,POINT(-107.38 29.30)
2016-08-15,16,POINT(-104.07 44.46)
2016-08-05,20,POINT(-101.06 21.10)
2016-08-09,43,POINT(-94.12 28.58)
2016-08-05,38,POINT(-85.51 21.43)
2016-08-08,24,POINT(-93.77 28.20)
2016-08-24,31,POINT(-88.03 33.11)
2016-08-18,36,POINT(-104.00 33.19)
2016-08-18,34,POINT(-81.74 30.17)
2016-08-09,23,POINT(-112.53 40.76)
2016-08-24,28,POINT(-105.31 43.92)
2016-08-19,48,POINT(-109.33 22.48)
2016-08-14,36,POINT(-103.02 32.92)
2016-08-29,22,POINT(-80.20 25.41)
2016-08-19,23,POINT(-108.25 23.08)
2016-08-13,45,POINT(-106.88 28.87)
2016-08-12,30,POINT(-102.16 41.53)
2016-08-08,18,POINT(-113.33 33.32)
2016-08-05,20,POINT(-102.11 41.80)
2016-08-17,17,POINT(-83.54 38.45)
2016-08-16,15,POINT(-102.60 39.18)
2016-08-03,8,POINT(-88.34 21.72)
2016-08-25,47,POINT(-93.15 32.19)
2016-08-02,13,POINT(-99.48 42.50)
2016-08-28,21,POINT(-113.60 20.93)
2016-08-04,8,POINT(-86.05 40.34)
2016-08-05,48,POINT(-102.47 23.79)
2016-08-21,35,POINT(-110.56 39.35)
2016-08-06,49,POINT(-105.51 48.48)
2016-08-26,45,POINT(-118.70 24.60)
2016-08-22,12,POINT(-102.00 31.13)
2016-08-14,13,POINT(-102.24 22.31)
2016-08-20,14,POINT(-114.49 31.01)
2016-08-03,48,POINT(-107.42 28.36)
2016-08-13,31,POINT(-81.58 20.78)
2016-08-13,18,POINT(-112.56 35.53)
2016-08-20,47,POINT(-83.46 23.53)
2016-08-15,38,POINT(-89.00 41.12)
2016-08-17,49,POINT(-111.42 38.36)
2016-08-09,34,POINT(-92.24 49.96)
2016-08-18,39,POINT(-111.99 24.07)
2016-08-28,19,POINT(-117.04 25.18)
2016-08-31,7,POINT(-91.47 49.92)
2016-08-01,13,POINT(-87.58 49.03)
2016-08-22,19,POINT(-80.54 40.04)
2016-08-24,15,POINT(-91.62 36.50)
2016-08-04,24,POINT(-108.39 29.00)
2016-08-22,12,POINT(-113.70 41.29)
2016-08-29,20,POINT(-91.99 25.22)
2016-08-18,1,POINT(-105.54 26.73)
2016-08-25,46,POINT(-80.59 43.76)
2016-08-09,35,POINT(-110.53 34.82)
2016-08-25,9,POINT(-105.56 37.17)
2016-08-21,18,POINT(-101.30 49.49)
2016-08-11,3,POINT(-114.81 46.53)
2016-08-04,4,POINT(-117.37 31.94)
2016-08-10,36,POINT(-91.32 34.36)
2016-08-14,19,POINT(-103.57 32.28)
2016-08-06,45,POINT(-97.00 23.76)
2016-08-15,9,POINT(-107.32 22.22)
2016-08-01,41,POINT(-101.37 35.52)
2016-08-31,49,POINT(-114.87 44.87)
2016-08-24,32,POINT(-97.95 37.63)
2016-08-29,7,POINT(-89.29 23.87)
2016-08-24,1,POINT(-99.89 46.05)
2016-08-09,37,POINT(-86.74 35.54)
2016-08-17,19,POINT(-107.84 24.86)
2016-08-25,31,POINT(-82.61 26.76)
2016-08-06,31,POINT(-82.10 35.57)
2016-08-17,29,POINT(-108.64 22.37)
2016-08-30,22,POINT(-112.15 48.69)
2016-08-04,12,POINT(-109.02 38.75)
2016-08-28,4,POINT(-95.42 22.80)
2016-08-21,17,POINT(-94.36 37.75)
2016-08-10,31,POINT(-96.77 25.14)
2016-08-27,8,POINT(-95.02 47.06)
2016-08-21,5,POINT(-106.50 47.72)
2016-08-17,26,POINT(-118.35 45.91)
2016-08-20,32,POINT(-116.75 48.46)
2016-08-07,5,POINT(-89.16 27.94)
2016-08-05,37,POINT(-111.57 37.16)
2016-08-12,41,POINT(-95.28 20.91)
2016-08-25,44,POINT(-84.44 36.37)
2016-08-06,4,POINT(-94.32 29.06)
2016-08-18,10,POINT(-110.20 44.22)
2016-08-31,10,POINT(-103.76 33.61)
2016-08-25,37,POINT(-92.46 24.74)
2016-08-30,20,POINT(-103.38 33.93)
2016-08-17,6,POINT(-106.39 24.31)
2016-08-30,16,POINT(-85.54 29.58)
2016-08-01,8,POINT(-80.48 30.36)
2016-08-20,36,POINT(-104.05 42.82)
2016-08-11,49,POINT(-99.40 23.19)
2016-08-16,27,POINT(-110.33 23.68)
2016-08-01,39,POINT(-102.02 24.23)
2016-08-04,39,POINT(-117.98 48.36)
2016-08-30,40,POINT(-85.43 32.54)
2016-08-12,15,POINT(-81.49 47.07)
2016-08-29,50,POINT(-87.46 48.01)
2016-08-27,34,POINT(-91.15 25.70)
2016-08-26,25,POINT(-113.63 49.88)
2016-08-10,29,POINT(-101.33 46.37)
2016-08-08,29,POINT(-100.11 22.70)
2016-08-02,20,POINT(-104.27 33.72)
2016-08-08,38,POINT(-110.37 37.50)
2016-08-29,28,POINT(-118.05 28.44)
2016-08-19,20,POINT(-96.10 45.29)
2016-08-31,37,POINT(-93.10 28.57)
2016-08-03,40,POINT(-119.67 23.22)
2016-08-03,4,POINT(-114.64 27.93)
2016-08-24,40,POINT(-105.37 32.10)
2016-08-16,48,POINT(-118.19 21.53)
2016-08-27,7,POINT(-97.53 30.88)
2016-08-03,49,POINT(-108.46 31.59)
2016-08-25,14,POINT(-101.99 36.50)
2016-08-18,41,POINT(-86.99 38.70)
2016-08-25,14,POINT(-95.56 23.86)
2016-08-05,17,POINT(-116.13 31.20)
2016-08-05,43,POINT(-80.53 36.73)
2016-08-22,6,POINT(-105.38 24.33)
2016-08-16,11,POINT(-95.90 32.04)
2016-08-31,16,POINT(-118.39 21.17)
2016-08-18,12,POINT(-91.46 44.12)
2016-08-06,36,POINT(-99.23 24.47)
2016-08-09,5,POINT(-84.27 24.19)
2016-08-17,11,POINT(-82.75 29.56)
2016-08-28,1,POINT(-104.28 38.50)
2016-08-20,27,POINT(-86.30 37.81)
2016-08-14,29,POINT(-99.71 35.29)
2016-08-31,45,POINT(-100.41 36.89)
2016-08-07,39,POINT(-101.00 20.50)
2016-08-30,31,POINT(-106.75 23.29)
2016-08-18,19,POINT(-103.34 29.23)
2016-08-25,3,POINT(-84.05 46.16)
2016-08-24,15,POINT(-94.83 37.91)
2016-08-23,19,POINT(-109.38 39.67)
2016-08-07,46,POINT(-81.12 37.35)
2016-08-23,19,POINT(-110.90 21.54)
2016-08-10,45,POINT(-100.78 35.73)
2016-08-13,30,POINT(-91.15 43.24)
2016-08-22,5,POINT(-104.79 44.65)
2016-08-21,44,POINT(-110.31 37.18)
2016-08-12,15,POINT(-91.98 25.72)
2016-08-15,17,POINT(-102.36 32.56)
2016-08-29,41,POINT(-103.48 26.12)
2016-08-17,38,POINT(-99.93 38.34)
2016-08-15,43,POINT(-101.14 45.45)
2016-08-04,13,POINT(-90.90 41.17)
2016-08-08,28,POINT(-99.25 36.83)
2016-08-08,8,POINT(-80.08 34.35)
2016-08-03,35,POINT(-104.93 48.70)
2016-08-11,15,POINT(-101.61 35.99)
2016-08-01,42,POINT(-98.15 40.28)
2016-08-19,10,POINT(-85.29 40.42)
2016-08-18,18,POINT(-87.85 27.93)
2016-08-08,10,POINT(-100.63 48.72)
2016-08-19,5,POINT(-108.84 28.95)
2016-08-08,4,POINT(-82.34 49.47)
2016-08-01,11,POINT(-89.15 41.15)
2016-08-03,20,POINT(-92.39 34.67)
2016-08-23,39,POINT(-100.81 36.81)
2016-08-21,48,POINT(-82.62 41.65)
2016-08-02,37,POINT(-108.49 37.20)
2016-08-08,19,POINT(-98.27 46.87)
2016-08-03,29,POINT(-104.22 30.35)
2016-08-29,8,POINT(-89.08 24.39)
2016-08-02,30,POINT(-118.32 48.66)
2016-08-28,45,POINT(-116.84 47.72)
2016-08-11,20,POINT(-93.76 42.42)
2016-08-03,45,POINT(-111.44 44.84)
2016-08-17,26,POINT(-109.15 36.86)
2016-08-08,18,POINT(-109.14 23.28)
2016-08-09,33,POINT(-90.36 27.18)
2016-08-22,35,POINT(-117.97 47.16)
2016-08-16,32,POINT(-110.97 26.99)
2016-08-07,29,POINT(-115.99 29.91)
2016-08-18,6,POINT(-101.10 40.44)
2016-08-05,39,POINT(-114.50 48.94)
2016-08-24,3,POINT(-80.88 24.74)
2016-08-30,28,POINT(-93.88 46.42)
2016-08-29,48,POINT(-100.97 39.52)
2016-08-19,21,POINT(-89.76 28.62)
2016-08-19,39,POINT(-108.58 21.77)
2016-08-16,17,POINT(-89.25 39.57)
2016-08-08,2,POINT(-110.71 42.16)
2016-08-26,6,POINT(-85.99 21.12)
2016-08-16,15,POINT(-83.14 32.54)
2016-08-26,44,POINT(-86.50 48.02)
2016-08-14,37,POINT(-118.55 45.09)
2016-08-07,38,POINT(-88.48 25.59)
2016-08-04,2,POINT(-90.04 46.17)
2016-08-04,49,POINT(-108.42 21.12)
2016-08-22,44,POINT(-108.06 38.08)
2016-08-14,18,POINT(-82.86 30.05)
2016-08-12,37,POINT(-101.83 39.24)
2016-08-14,3,POINT(-99.03 46.68)
2016-08-14,49,POINT(-114.63 35.13)
2016-08-15,49,POINT(-109.09 44.26)
2016-08-28,12,POINT(-106.77 41.93)
2016-08-24,31,POINT(-94.07 41.56)
2016-08-02,34,POINT(-119.44 30.11)
2016-08-22,42,POINT(-108.20 40.23)
2016-08-21,29,POINT(-112.27 38.33)
2016-08-21,18,POINT(-94.45 32.16)
2016-08-04,12,POINT(-102.89 29.84)
2016-08-02,38,POINT(-103.97 22.86)
2016-08-13,28,POINT(-80.73 34.32)
2016-08-24,41,POINT(-82.57 20.20)
2016-08-11,32,POINT(-104.66 33.40)
2016-08-26,6,POINT(-109.32 29.89)
2016-08-28,31,POINT(-96.70 37.19)
2016-08-04,23,POINT(-109.54 30.79)
2016-08-08,27,POINT(-110.55 40.03)
2016-08-07,22,POINT(-101.38 24.79)
2016-08-07,21,POINT(-92.56 47.69)
2016-08-18,43,POINT(-84.49 43.10)
2016-08-15,7,POINT(-92.39 39.16)
2016-08-05,11,POINT(-82.37 31.03)
2016-08-14,22,POINT(-111.17 48.72)
2016-08-06,27,POINT(-100.87 33.65)
2016-08-09,45,POINT(-80.45 31.21)
2016-08-15,32,POINT(-91.92 47.38)
2016-08-08,19,POINT(-89.71 44.06)
2016-08-28,43,POINT(-86.98 42.86)
2016-08-30,26,POINT(-92.79 37.87)
2016-08-03,49,POINT(-88.51 35.77)
2016-08-15,36,POINT(-98.87 30.85)
2016-08-26,3,POINT(-83.31 23.37)
2016-08-28,30,POINT(-86.85 47.09)
2016-08-28,6,POINT(-111.91 36.10)
2016-08-18,21,POINT(-113.42 45.63)
2016-08-04,17,POINT(-102.33 40.41)
2016-08-02,21,POINT(-91.32 34.66)
2016-08-21,8,POINT(-84.04 33.36)
2016-08-18,50,POINT(-117.77 23.96)
2016-08-27,26,POINT(-103.38 36.92)
2016-08-01,33,POINT(-97.65 40.18)
2016-08-03,1,POINT(-107.67 20.65)
2016-08-30,43,POINT(-109.82 20.09)
2016-08-25,35,POINT(-111.28 22.19)
2016-08-28,30,POINT(-103.05 41.01)
2016-08-08,27,POINT(-98.35 21.81)
2016-08-06,4,POINT(-84.23 49.58)
2016-08-14,13,POINT(-101.12 28.61)
2016-08-16,34,POINT(-112.80 24.06)
2016-08-16,24,POINT(-94.34 41.88)
2016-08-07,40,POINT(-81.45 31.23)
2016-08-28,49,POINT(-84.35 33.46)
2016-08-13,32,POINT(-83.32 31.32)
2016-08-29,41,POINT(-116.79 48.92)
2016-08-02,29,POINT(-85.02 23.99)
2016-08-06,49,POINT(-85.59 23.56)
2016-08-13,4,POINT(-80.29 31.79)
2016-08-01,14,POINT(-114.91 49.36)
2016-08-13,18,POINT(-86.61 42.69)
2016-08-09,36,POINT(-80.86 33.89)
2016-08-30,9,POINT(-91.24 32.72)
2016-08-26,19,POINT(-104.83 26.89)
2016-08-26,29,POINT(-101.57 24.65)
2016-08-15,45,POINT(-112.46 46.26)
2016-08-10,32,POINT(-89.38 20.97)
2016-08-14,8,POINT(-93.59 38.45)
2016-08-23,2,POINT(-82.55 46.67)
2016-08-31,41,POINT(-110.37 22.02)
2016-08-24,39,POINT(-96.24 33.39)
2016-08-26,16,POINT(-93.12 46.17)
2016-08-18,46,POINT(-110.21 21.33)
2016-08-22,11,POINT(-102.44 36.19)
2016-08-23,20,POINT(-89.82 43.28)
2016-08-16,36,POINT(-114.39 49.80)
2016-08-05,1,POINT(-110.63 47.49)
2016-08-07,36,POINT(-96.96 37.32)
2016-08-10,27,POINT(-89.10 44.55)
2016-08-07,6,POINT(-110.52 46.29)
2016-08-31,15,POINT(-80.57 35.64)
2016-08-02,8,POINT(-103.46 28.25)
2016-08-19,30,POINT(-97.73 37.75)
2016-08-24,8,POINT(-90.59 25.25)
2016-08-18,42,POINT(-92.85 36.68)
2016-08-02,10,POINT(-118.12 30.33)
2016-08-24,32,POINT(-94.27 31.43)
2016-08-11,46,POINT(-99.02 40.89)
2016-08-02,19,POINT(-103.67 29.00)
2016-08-02,33,POINT(-112.64 36.14)
2016-08-19,46,POINT(-110.36 26.76)
2016-08-16,18,POINT(-85.70 24.33)
2016-08-17,27,POINT(-101.48 21.73)
2016-08-30,31,POINT(-103.49 32.50)
2016-08-28,31,POINT(-98.80 31.65)
2016-08-17,16,POINT(-109.80 29.91)
2016-08-06,30,POINT(-116.84 33.49)
2016-08-02,36,POINT(-105.16 36.07)
2016-08-31,10,POINT(-86.82 21.55)
2016-08-17,25,POINT(-104.91 38.15)
2016-08-03,13,POINT(-118.42 22.18)
2016-08-28,39,POINT(-87.81 37.63)
2016-08-06,33,POINT(-93.14 26.51)
2016-08-03,48,POINT(-111.64 47.21)
2016-08-20,9,POINT(-107.87 47.27)
2016-08-03,5,POINT(-111.53 25.70)
2016-08-22,18,POINT(-90.34 42.41)
2016-08-28,50,POINT(-89.83 47.43)
2016-08-08,27,POINT(-92.17 41.11)
2016-08-13,22,POINT(-104.13 27.18)
2016-08-04,33,POINT(-107.14 28.49)
2016-08-31,18,POINT(-101.35 39.46)
2016-08-29,1,POINT(-107.66 30.79)
2016-08-19,19,POINT(-84.69 33.98)
2016-08-08,47,POINT(-87.89 41.67)
2016-08-19,20,POINT(-89.53 29.61)
2016-08-20,38,POINT(-111.87 29.39)
2016-08-02,38,POINT(-118.17 45.92)
2016-08-20,43,POINT(-90.35 20.49)
2016-08-03,32,POINT(-97.87 37.52)
2016-08-14,10,POINT(-91.20 28.86)
2016-08-22,29,POINT(-112.15 26.90)
2016-08-19,35,POINT(-97.21 27.37)
2016-08-19,31,POINT(-97.97 48.30)
2016-08-17,23,POINT(-106.50 42.90)
2016-08-11,22,POINT(-100.46 41.71)
2016-08-30,36,POINT(-90.42 33.82)
2016-08-09,49,POINT(-90.69 30.57)
2016-08-07,35,POINT(-114.40 36.40)
2016-08-22,25,POINT(-112.64 46.68)
2016-08-23,30,POINT(-80.39 48.72)
2016-08-11,21,POINT(-99.04 45.17)
2016-08-08,13,POINT(-117.03 44.54)
2016-08-09,45,POINT(-118.06 20.19)
2016-08-13,16,POINT(-114.50 38.92)
2016-08-05,37,POINT(-117.28 24.53)
2016-08-22,25,POINT(-111.25 33.68)
2016-08-21,15,POINT(-117.58 39.13)
2016-08-10,50,POINT(-82.64 47.38)
2016-08-15,27,POINT(-93.63 20.47)
2016-08-11,3,POINT(-98.71 32.34)
2016-08-30,21,POINT(-119.33 41.67)
2016-08-25,48,POINT(-98.57 28.60)
2016-08-30,31,POINT(-99.91 40.94)
2016-08-03,46,POINT(-102.78 48.19)
2016-08-01,25,POINT(-112.83 47.54)
2016-08-15,25,POINT(-99.02 27.23)
2016-08-20,43,POINT(-95.21 27.57)
2016-08-19,42,POINT(-105.82 43.85)
2016-08-04,10,POINT(-116.84 48.78)
2016-08-03,32,POINT(-101.64 27.30)
2016-08-18,3,POINT(-92.11 29.00)
2016-08-07,9,POINT(-86.88 22.42)
2016-08-17,33,POINT(-80.33 39.50)
2016-08-09,38,POINT(-118.73 32.16)
2016-08-05,22,POINT(-104.91 34.28)
2016-08-30,7,POINT(-94.53 41.09)
2016-08-12,29,POINT(-116.69 45.36)
2016-08-29,7,POINT(-94.20 29.94)
2016-08-03,34,POINT(-80.91 49.22)
2016-08-29,30,POINT(-84.21 47.57)
2016-08-08,1,POINT(-110.81 47.04)
2016-08-12,47,POINT(-92.31 37.00)
2016-08-10,10,POINT(-109.16 47.72)
2016-08-06,27,POINT(-92.62 28.41)
2016-08-15,42,POINT(-98.28 39.74)
2016-08-27,10,POINT(-112.83 45.51)
2016-08-18,5,POINT(-119.37 26.21)
2016-08-23,31,POINT(-114.23 44.62)
2016-08-10,17,POINT(-87.16 47.87)
2016-08-20,22,POINT(-108.03 36.92)
2016-08-26,40,POINT(-97.33 45.48)
2016-08-21,45,POINT(-92.92 36.22)
2016-08-17,26,POINT(-104.65 42.19)
2016-08-01,42,POINT(-88.38 40.68)
2016-08-22,6,POINT(-116.86 42.36)
2016-08-27,22,POINT(-106.17 22.93)
2016-08-18,44,POINT(-110.71 22.28)
2016-08-10,35,POINT(-95.79 38.42)
2016-08-30,25,POINT(-96.18 49.07)
2016-08-22,21,POINT(-106.94 39.02)
2016-08-04,41,POINT(-88.66 33.52)
2016-08-31,46,POINT(-110.87 36.59)
2016-08-29,49,POINT(-104.98 25.57)
2016-08-05,32,POINT(-96.56 31.40)
2016-08-09,35,POINT(-89.11 28.86)
2016-08-04,3,POINT(-110.14 22.21)
2016-08-29,40,POINT(-109.28 31.40)
2016-08-04,5,POINT(-88.64 24.63)
2016-08-24,16,POINT(-104.42 30.82)
2016-08-18,41,POINT(-116.34 48.29)
2016-08-05,44,POINT(-102.21 42.84)
2016-08-09,19,POINT(-115.91 22.62)
2016-08-10,15,POINT(-102.76 36.71)
2016-08-20,48,POINT(-99.50 23.10)
2016-08-07,6,POINT(-116.42 36.63)
2016-08-23,28,POINT(-96.12 43.53)
2016-08-11,7,POINT(-85.45 20.37)
2016-08-07,49,POINT(-103.45 43.38)
2016-08-22,41,POINT(-91.01 36.79)
2016-08-21,46,POINT(-80.29 27.28)
2016-08-28,7,POINT(-99.16 40.56)
2016-08-09,29,POINT(-113.22 28.07)
2016-08-17,11,POINT(-109.26 24.38)
2016-08-16,45,POINT(-113.31 28.28)
2016-08-09,20,POINT(-108.01 43.48)
2016-08-29,2,POINT(-105.56 48.33)
2016-08-30,3,POINT(-91.16 34.87)
2016-08-28,21,POINT(-95.33 33.74)
2016-08-02,4,POINT(-114.58 20.20)
2016-08-03,19,POINT(-104.17 45.25)
2016-08-21,23,POINT(-104.80 45.87)
2016-08-14,24,POINT(-102.39 32.92)
2016-08-27,28,POINT(-87.06 39.53)
2016-08-09,10,POINT(-96.22 29.01)
2016-08-02,16,POINT(-95.87 40.86)
2016-08-01,34,POINT(-100.84 25.33)
2016-08-11,27,POINT(-104.07 29.57)
2016-08-25,37,POINT(-90.61 38.99)
2016-08-05,44,POINT(-81.29 43.46)
2016-08-21,12,POINT(-106.96 28.41)
2016-08-09,11,POINT(-88.57 30.95)
2016-08-06,12,POINT(-82.72 25.99)
2016-08-24,6,POINT(-80.11 25.40)
2016-08-15,40,POINT(-89.30 20.81)
2016-08-18,25,POINT(-90.91 48.29)
2016-08-23,40,POINT(-111.61 43.93)
2016-08-14,44,POINT(-86.75 22.07)
2016-08-18,16,POINT(-86.09 43.85)
2016-08-01,32,POINT(-93.08 24.18)
2016-08-04,38,POINT(-107.89 27.58)
2016-08-03,10,POINT(-113.83 32.69)
2016-08-31,15,POINT(-104.92 33.47)
2016-08-29,30,POINT(-96.08 37.47)
2016-08-23,41,POINT(-98.63 47.70)
2016-08-29,17,POINT(-85.21 32.55)
2016-08-05,30,POINT(-118.53 49.05)
2016-08-18,17,POINT(-91.93 44.37)
2016-08-02,43,POINT(-96.25 47.43)
2016-08-27,1,POINT(-115.63 27.45)
2016-08-12,30,POINT(-93.41 24.99)
2016-08-19,19,POINT(-95.49 36.90)
2016-08-18,44,POINT(-94.20 39.40)
2016-08-05,35,POINT(-81.33 29.95)
2016-08-14,11,POINT(-88.15 23.18)
2016-08-05,5,POINT(-116.06 26.66)
2016-08-02,29,POINT(-90.13 36.74)
2016-08-10,23,POINT(-92.49 26.63)
2016-08-12,38,POINT(-105.04 33.89)
2016-08-29,20,POINT(-92.82 40.71)
2016-08-30,41,POINT(-113.97 49.93)
2016-08-26,28,POINT(-100.69 28.86)
2016-08-28,45,POINT(-83.18 22.58)
2016-08-02,17,POINT(-86.75 41.90)
2016-08-29,30,POINT(-106.07 30.29)
2016-08-12,20,POINT(-88.63 35.63)
2016-08-07,13,POINT(-106.07 22.93)
2016-08-22,25,POINT(-91.12 33.57)
2016-08-08,31,POINT(-117.31 21.34)
2016-08-22,7,POINT(-91.57 20.68)
2016-08-04,16,POINT(-106.28 23.28)
2016-08-12,25,POINT(-88.00 47.90)
2016-08-25,37,POINT(-90.38 35.48)
